2022-11-16 14:55:00.304 [main] INFO  com.lp.logback_demo.LogbackDemoApplicationTests - Starting LogbackDemoApplicationTests on DESKTOP-T987IHU with PID 12924 (started by TY in E:\github\myResource_02\start_demo_02\logback_demo)
2022-11-16 14:55:00.323 [main] INFO  com.lp.logback_demo.LogbackDemoApplicationTests - No active profile set, falling back to default profiles: default
2022-11-16 14:55:04.402 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-11-16 14:55:04.993 [main] INFO  com.lp.logback_demo.LogbackDemoApplicationTests - Started LogbackDemoApplicationTests in 5.383 seconds (JVM running for 7.528)
2022-11-16 14:55:05.472 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2022-11-16 14:55:19.683 [main] INFO  com.lp.logback_demo.LogbackDemoApplicationTests - Starting LogbackDemoApplicationTests on DESKTOP-T987IHU with PID 12784 (started by TY in E:\github\myResource_02\start_demo_02\logback_demo)
2022-11-16 14:55:19.686 [main] INFO  com.lp.logback_demo.LogbackDemoApplicationTests - No active profile set, falling back to default profiles: default
2022-11-16 14:55:23.101 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-11-16 14:55:23.848 [main] INFO  com.lp.logback_demo.LogbackDemoApplicationTests - Started LogbackDemoApplicationTests in 4.772 seconds (JVM running for 6.874)
2022-11-16 14:55:24.300 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2022-11-16 14:57:10.443 [main] INFO  com.lp.logback_demo.LogbackDemoApplicationTests - Starting LogbackDemoApplicationTests on DESKTOP-T987IHU with PID 14320 (started by TY in E:\github\myResource_02\start_demo_02\logback_demo)
2022-11-16 14:57:10.445 [main] INFO  com.lp.logback_demo.LogbackDemoApplicationTests - No active profile set, falling back to default profiles: default
2022-11-16 14:57:13.527 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-11-16 14:57:14.206 [main] INFO  com.lp.logback_demo.LogbackDemoApplicationTests - Started LogbackDemoApplicationTests in 4.426 seconds (JVM running for 6.381)
2022-11-16 14:57:14.632 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2022-11-16 14:58:37.601 [main] INFO  com.lp.logback_demo.LogbackDemoApplication - Starting LogbackDemoApplication on DESKTOP-T987IHU with PID 3400 (E:\github\myResource_02\start_demo_02\logback_demo\target\classes started by TY in E:\github\myResource_02\start_demo_02)
2022-11-16 14:58:37.604 [main] INFO  com.lp.logback_demo.LogbackDemoApplication - No active profile set, falling back to default profiles: default
2022-11-16 14:58:39.695 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-11-16 14:58:39.711 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-11-16 14:58:39.712 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-11-16 14:58:39.713 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2022-11-16 14:58:39.851 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-11-16 14:58:39.851 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2029 ms
2022-11-16 14:58:40.070 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-11-16 14:58:40.254 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-11-16 14:58:40.281 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-11-16 14:58:40.318 [main] INFO  com.lp.logback_demo.LogbackDemoApplication - Started LogbackDemoApplication in 3.947 seconds (JVM running for 6.909)
2022-11-16 14:59:12.518 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-11-16 14:59:12.519 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-11-16 14:59:12.528 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 9 ms
2022-11-16 14:59:25.767 [http-nio-8080-exec-3] INFO  com.lp.logback_demo.controller.LogbackController - 项目路径=>[E:\github\myResource_02\start_demo_02]
