2022-07-28 09:59:21.520 [main] INFO  com.lp.login_jwt.LoginJwtApplication - Starting LoginJwtApplication on DESKTOP-T987IHU with PID 5144 (E:\github\myResource_02\start_demo_02\login_JWT\target\classes started by TY in E:\github\myResource_02\start_demo_02)
2022-07-28 09:59:21.645 [main] INFO  com.lp.login_jwt.LoginJwtApplication - No active profile set, falling back to default profiles: default
2022-07-28 09:59:23.531 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-07-28 09:59:23.531 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2022-07-28 09:59:23.562 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15ms. Found 0 JDBC repository interfaces.
2022-07-28 09:59:23.594 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-07-28 09:59:23.594 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-07-28 09:59:23.625 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9ms. Found 0 Redis repository interfaces.
2022-07-28 09:59:24.298 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-07-28 09:59:24.314 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-07-28 09:59:24.314 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-07-28 09:59:24.314 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2022-07-28 09:59:24.439 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-07-28 09:59:24.439 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2669 ms
2022-07-28 09:59:25.908 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-07-28 09:59:26.662 [main] INFO  com.zaxxer.hikari.HikariDataSource - defaultDataSource - Starting...
2022-07-28 09:59:27.021 [main] INFO  com.zaxxer.hikari.HikariDataSource - defaultDataSource - Start completed.
2022-07-28 09:59:27.252 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-07-28 09:59:27.283 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-07-28 09:59:27.314 [main] INFO  com.lp.login_jwt.LoginJwtApplication - Started LoginJwtApplication in 7.946 seconds (JVM running for 11.744)
2022-07-28 10:00:45.347 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
